,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_learning_rate,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
1826,32.100426006317136,0.22121722821557294,0.11347994804382325,0.043039828284342614,squared_error,0.1,5,0.4,15,60,500,"{'criterion': 'squared_error', 'learning_rate': 0.1, 'max_depth': 5, 'max_features': 0.4, 'min_samples_leaf': 15, 'min_samples_split': 60, 'n_estimators': 500}",0.9588235294117647,0.9441176470588235,0.9470588235294117,0.9558823529411765,0.961764705882353,0.9535294117647058,0.006809315825170748,1,0.9985294117647059,0.9985294117647059,0.9992647058823529,0.9992647058823529,0.9985294117647059,0.9988235294117647,0.00036021907982105434
1936,30.55259017944336,0.6278613522877073,0.08864631652832031,0.04975991428902361,squared_error,0.1,6,0.5,20,40,400,"{'criterion': 'squared_error', 'learning_rate': 0.1, 'max_depth': 6, 'max_features': 0.5, 'min_samples_leaf': 20, 'min_samples_split': 40, 'n_estimators': 400}",0.961764705882353,0.9441176470588235,0.95,0.9558823529411765,0.9558823529411765,0.9535294117647058,0.005998846486579773,1,0.9985294117647059,0.9985294117647059,0.9992647058823529,0.9992647058823529,0.9985294117647059,0.9988235294117647,0.00036021907982105434
766,22.93702564239502,0.532549359837794,0.08730115890502929,0.05542022787774683,friedman_mse,0.1,4,0.4,15,40,400,"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'max_depth': 4, 'max_features': 0.4, 'min_samples_leaf': 15, 'min_samples_split': 40, 'n_estimators': 400}",0.961764705882353,0.9441176470588235,0.9441176470588235,0.9588235294117647,0.9558823529411765,0.9529411764705882,0.0074406533180432725,3,0.9985294117647059,0.9985294117647059,0.9992647058823529,0.9992647058823529,0.9985294117647059,0.9988235294117647,0.00036021907982105434
932,38.426699781417845,0.4132213457295887,0.1292430877685547,0.010967637693308446,friedman_mse,0.1,6,0.4,15,50,500,"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'max_depth': 6, 'max_features': 0.4, 'min_samples_leaf': 15, 'min_samples_split': 50, 'n_estimators': 500}",0.9647058823529412,0.9382352941176471,0.95,0.9558823529411765,0.9558823529411765,0.9529411764705882,0.008724939396583148,3,0.9985294117647059,0.9985294117647059,0.9992647058823529,0.9992647058823529,0.9985294117647059,0.9988235294117647,0.00036021907982105434
1868,25.874885940551756,0.8467965799517063,0.1443760871887207,0.007632387430142546,squared_error,0.1,6,0.3,10,50,500,"{'criterion': 'squared_error', 'learning_rate': 0.1, 'max_depth': 6, 'max_features': 0.3, 'min_samples_leaf': 10, 'min_samples_split': 50, 'n_estimators': 500}",0.9588235294117647,0.95,0.9382352941176471,0.9588235294117647,0.9588235294117647,0.9529411764705882,0.008108263971817797,3,0.9985294117647059,0.9985294117647059,0.9992647058823529,0.9992647058823529,0.9985294117647059,0.9988235294117647,0.00036021907982105434
1910,38.06339740753174,0.7069952140935049,0.15266213417053223,0.04550231624876403,squared_error,0.1,6,0.4,20,40,500,"{'criterion': 'squared_error', 'learning_rate': 0.1, 'max_depth': 6, 'max_features': 0.4, 'min_samples_leaf': 20, 'min_samples_split': 40, 'n_estimators': 500}",0.9529411764705882,0.95,0.95,0.9529411764705882,0.9558823529411765,0.9523529411764706,0.002200974933396464,6,0.9985294117647059,0.9985294117647059,0.9992647058823529,0.9992647058823529,0.9985294117647059,0.9988235294117647,0.00036021907982105434
829,23.99698176383972,0.3958218119984617,0.08251667022705078,0.05339527620194662,friedman_mse,0.1,5,0.3,20,40,400,"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'max_depth': 5, 'max_features': 0.3, 'min_samples_leaf': 20, 'min_samples_split': 40, 'n_estimators': 400}",0.9558823529411765,0.9411764705882353,0.95,0.9558823529411765,0.9588235294117647,0.9523529411764706,0.006280634265900796,6,0.9985294117647059,0.9985294117647059,0.9992647058823529,0.9992647058823529,0.9985294117647059,0.9988235294117647,0.00036021907982105434
961,33.95323815345764,0.9535997533112452,0.09209532737731933,0.057584384923521165,friedman_mse,0.1,6,0.5,15,60,400,"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'max_depth': 6, 'max_features': 0.5, 'min_samples_leaf': 15, 'min_samples_split': 60, 'n_estimators': 400}",0.9647058823529412,0.9382352941176471,0.9441176470588235,0.9558823529411765,0.9588235294117647,0.9523529411764706,0.009737026680733457,6,0.9985294117647059,0.9985294117647059,0.9992647058823529,0.9992647058823529,0.9985294117647059,0.9988235294117647,0.00036021907982105434
893,33.210453844070436,0.794129032589811,0.15288119316101073,0.04560084618699358,friedman_mse,0.1,6,0.3,10,40,500,"{'criterion': 'friedman_mse', 'learning_rate': 0.1, 'max_depth': 6, 'max_features': 0.3, 'min_samples_leaf': 10, 'min_samples_split': 40, 'n_estimators': 500}",0.9588235294117647,0.9470588235294117,0.9382352941176471,0.9558823529411765,0.961764705882353,0.9523529411764706,0.008605140493134015,6,0.9985294117647059,0.9985294117647059,0.9992647058823529,0.9992647058823529,0.9985294117647059,0.9988235294117647,0.00036021907982105434
1892,39.62768235206604,0.2927596751285108,0.17657461166381835,0.04838290811081366,squared_error,0.1,6,0.4,10,40,500,"{'criterion': 'squared_error', 'learning_rate': 0.1, 'max_depth': 6, 'max_features': 0.4, 'min_samples_leaf': 10, 'min_samples_split': 40, 'n_estimators': 500}",0.9676470588235294,0.9470588235294117,0.9352941176470588,0.9558823529411765,0.9558823529411765,0.9523529411764706,0.01075039228382181,6,0.9985294117647059,0.9985294117647059,0.9992647058823529,0.9992647058823529,0.9985294117647059,0.9988235294117647,0.00036021907982105434
