,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_gamma,param_learning_rate,param_max_depth,param_n_estimators,param_scale_pos_weight,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0,13.152400016784668,1.194542408202468,0.011808300018310547,0.0035986611240767965,0.5,0,0.1,3,200,1,0.8,"{'colsample_bytree': 0.5, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'scale_pos_weight': 1, 'subsample': 0.8}",0.8967136150234741,0.9342723004694836,0.9389671361502347,0.9295774647887324,0.9483568075117371,0.9577464788732394,0.910377358490566,0.9339622641509434,0.8584905660377359,0.7169811320754716,0.9025445123571618,0.06757737071841063,1,0.9952953476215368,0.9947726084683742,0.9932043910088866,0.9937271301620492,0.992681651855724,0.9937271301620492,0.9947753396029259,0.9942528735632183,0.9932079414838035,0.9963427377220481,0.9941987151650615,0.0010573928691446524
2,12.45146369934082,0.17907657893499854,0.011254525184631348,0.003457758406428556,0.5,0,0.1,3,200,5,0.8,"{'colsample_bytree': 0.5, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'scale_pos_weight': 5, 'subsample': 0.8}",0.8967136150234741,0.9342723004694836,0.9389671361502347,0.9295774647887324,0.9483568075117371,0.9577464788732394,0.910377358490566,0.9339622641509434,0.8584905660377359,0.7169811320754716,0.9025445123571618,0.06757737071841063,1,0.9952953476215368,0.9947726084683742,0.9932043910088866,0.9937271301620492,0.992681651855724,0.9937271301620492,0.9947753396029259,0.9942528735632183,0.9932079414838035,0.9963427377220481,0.9941987151650615,0.0010573928691446524
1,13.715601539611816,0.9873482295707985,0.01771411895751953,0.008199680386842835,0.5,0,0.1,3,200,3,0.8,"{'colsample_bytree': 0.5, 'gamma': 0, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'scale_pos_weight': 3, 'subsample': 0.8}",0.8967136150234741,0.9342723004694836,0.9389671361502347,0.9295774647887324,0.9483568075117371,0.9577464788732394,0.910377358490566,0.9339622641509434,0.8584905660377359,0.7169811320754716,0.9025445123571618,0.06757737071841063,1,0.9952953476215368,0.9947726084683742,0.9932043910088866,0.9937271301620492,0.992681651855724,0.9937271301620492,0.9947753396029259,0.9942528735632183,0.9932079414838035,0.9963427377220481,0.9941987151650615,0.0010573928691446524
108,11.691577172279358,0.10347631921910998,0.009165644645690918,0.0009350383185283087,0.5,0.25,0.1,3,200,1,0.8,"{'colsample_bytree': 0.5, 'gamma': 0.25, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'scale_pos_weight': 1, 'subsample': 0.8}",0.892018779342723,0.9248826291079812,0.9389671361502347,0.9248826291079812,0.9530516431924883,0.9577464788732394,0.910377358490566,0.9386792452830188,0.8584905660377359,0.7216981132075472,0.9020794578793515,0.06636617270045356,4,0.9942498693152118,0.9942498693152118,0.992681651855724,0.992681651855724,0.9916361735493988,0.992681651855724,0.9942528735632183,0.9937304075235109,0.9932079414838035,0.9958202716823407,0.9935192361999867,0.0011266189615576306
109,12.591748571395874,0.35489676952918137,0.010607266426086425,0.004558781631389958,0.5,0.25,0.1,3,200,3,0.8,"{'colsample_bytree': 0.5, 'gamma': 0.25, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'scale_pos_weight': 3, 'subsample': 0.8}",0.892018779342723,0.9248826291079812,0.9389671361502347,0.9248826291079812,0.9530516431924883,0.9577464788732394,0.910377358490566,0.9386792452830188,0.8584905660377359,0.7216981132075472,0.9020794578793515,0.06636617270045356,4,0.9942498693152118,0.9942498693152118,0.992681651855724,0.992681651855724,0.9916361735493988,0.992681651855724,0.9942528735632183,0.9937304075235109,0.9932079414838035,0.9958202716823407,0.9935192361999867,0.0011266189615576306
110,13.259715557098389,0.20603585021786774,0.009379911422729491,0.0006300764506155871,0.5,0.25,0.1,3,200,5,0.8,"{'colsample_bytree': 0.5, 'gamma': 0.25, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200, 'scale_pos_weight': 5, 'subsample': 0.8}",0.892018779342723,0.9248826291079812,0.9389671361502347,0.9248826291079812,0.9530516431924883,0.9577464788732394,0.910377358490566,0.9386792452830188,0.8584905660377359,0.7216981132075472,0.9020794578793515,0.06636617270045356,4,0.9942498693152118,0.9942498693152118,0.992681651855724,0.992681651855724,0.9916361735493988,0.992681651855724,0.9942528735632183,0.9937304075235109,0.9932079414838035,0.9958202716823407,0.9935192361999867,0.0011266189615576306
219,29.842125844955444,0.4188893014990058,0.009815669059753418,0.0012122852845825444,0.5,1,0.1,3,500,1,0.8,"{'colsample_bytree': 0.5, 'gamma': 1, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 500, 'scale_pos_weight': 1, 'subsample': 0.8}",0.9014084507042254,0.9342723004694836,0.92018779342723,0.9248826291079812,0.9671361502347418,0.9530516431924883,0.9056603773584906,0.9292452830188679,0.8632075471698113,0.7122641509433962,0.9011316325626716,0.06855505830775607,7,0.9911134343962362,0.9916361735493988,0.9884997386304234,0.9884997386304234,0.989022477783586,0.9879769994772608,0.9916405433646813,0.9869383490073145,0.9890282131661442,0.990073145245559,0.9894428813251027,0.0015289684830555208
220,30.085059881210327,0.26659358147207596,0.009428453445434571,0.000747213829158595,0.5,1,0.1,3,500,3,0.8,"{'colsample_bytree': 0.5, 'gamma': 1, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 500, 'scale_pos_weight': 3, 'subsample': 0.8}",0.9014084507042254,0.9342723004694836,0.92018779342723,0.9248826291079812,0.9671361502347418,0.9530516431924883,0.9056603773584906,0.9292452830188679,0.8632075471698113,0.7122641509433962,0.9011316325626716,0.06855505830775607,7,0.9911134343962362,0.9916361735493988,0.9884997386304234,0.9884997386304234,0.989022477783586,0.9879769994772608,0.9916405433646813,0.9869383490073145,0.9890282131661442,0.990073145245559,0.9894428813251027,0.0015289684830555208
221,29.306704354286193,0.17411225554975618,0.00943441390991211,0.0012995849799642709,0.5,1,0.1,3,500,5,0.8,"{'colsample_bytree': 0.5, 'gamma': 1, 'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 500, 'scale_pos_weight': 5, 'subsample': 0.8}",0.9014084507042254,0.9342723004694836,0.92018779342723,0.9248826291079812,0.9671361502347418,0.9530516431924883,0.9056603773584906,0.9292452830188679,0.8632075471698113,0.7122641509433962,0.9011316325626716,0.06855505830775607,7,0.9911134343962362,0.9916361735493988,0.9884997386304234,0.9884997386304234,0.989022477783586,0.9879769994772608,0.9916405433646813,0.9869383490073145,0.9890282131661442,0.990073145245559,0.9894428813251027,0.0015289684830555208
301,39.217893242836,0.4400894100103878,0.010080671310424805,0.0011273775992629964,0.5,1,0.05,4,500,3,0.8,"{'colsample_bytree': 0.5, 'gamma': 1, 'learning_rate': 0.05, 'max_depth': 4, 'n_estimators': 500, 'scale_pos_weight': 3, 'subsample': 0.8}",0.8967136150234741,0.9295774647887324,0.9154929577464789,0.9295774647887324,0.9624413145539906,0.9624413145539906,0.8915094339622641,0.9433962264150944,0.8584905660377359,0.7169811320754716,0.9006621489945965,0.0685333475974366,10,0.9916361735493988,0.9905906952430737,0.9900679560899112,0.9900679560899112,0.9884997386304234,0.9874542603240982,0.9905956112852664,0.9885057471264368,0.9905956112852664,0.9911180773249739,0.9899131826948759,0.0012603101683758197
